Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",DNB,CHNW,T20I,Mong Kok,04 Dec 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",DNB,CHNW,T20I,Hangzhou,10 Nov 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",DNB,MGLW,T20I,Hangzhou,09 Nov 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",14(26),CHNW,T20I,Hangzhou,08 Nov 24,53.8,0,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",7(12),MMRW,T20I,Hangzhou,07 Nov 24,58.3,1,0
WOMENS EAST ASIA CUP 2024,DNB,JPNW,T20I,Incheon,13 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,SKRW,T20I,Incheon,12 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,MGLW,T20I,Incheon,10 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,0(1),CHNW,T20I,Incheon,09 Oct 24,0,0,0
WOMENS EAST ASIA CUP 2024,1(4),JPNW,T20I,Incheon,08 Oct 24,25,0,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",17*(18),NEDW,T20I,Utrecht,19 Jun 24,94.4,1,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",6(10),NEDW,T20I,Utrecht,19 Jun 24,60,0,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",13*(12),NEDW,T20I,Utrecht,18 Jun 24,108.3,0,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",6(12),NEDW,T20I,Utrecht,17 Jun 24,50,1,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,19(26),THAIW,T20I,Kuala Lumpur,14 Feb 24,73,1,0
