Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"SOUTH AFRICA TOUR OF ENGLAND, 2022",22(7),RSA,T20I,Bristol,27 Jul 22,314.2,2,2
"SOUTH AFRICA TOUR OF ENGLAND, 2022",19(27),RSA,ODI,Manchester,22 Jul 22,70.3,1,0
"SOUTH AFRICA TOUR OF ENGLAND, 2022",12(12),RSA,ODI,Chester-le-Street,19 Jul 22,100,1,0
"INDIA TOUR OF ENGLAND, 2022",60(80),IND,ODI,Manchester,17 Jul 22,75,3,2
"INDIA TOUR OF ENGLAND, 2022",4(5),IND,ODI,London,14 Jul 22,80,0,0
"INDIA TOUR OF ENGLAND, 2022",30(32),IND,ODI,London,12 Jul 22,93.7,6,0
"INDIA TOUR OF ENGLAND, 2022",18(9),IND,T20I,Nottingham,10 Jul 22,200,2,1
"INDIA TOUR OF ENGLAND, 2022",4(5),IND,T20I,Birmingham,09 Jul 22,80,0,0
"INDIA TOUR OF ENGLAND, 2022",0(1),IND,T20I,Southampton,07 Jul 22,0,0,0
"ENGLAND TOUR OF NETHERLANDS, 2022",86*(64),NED,ODI,Amstelveen,22 Jun 22,134.3,7,5
"ENGLAND TOUR OF NETHERLANDS, 2022",DNB,NED,ODI,Amstelveen,19 Jun 22,DNB,DNB,DNB
"ENGLAND TOUR OF NETHERLANDS, 2022",162*(70),NED,ODI,Amstelveen,17 Jun 22,231.4,7,14
INDIAN PREMIER LEAGUE 2022,39(35),GT,T20,Ahmedabad,29 May 22,111.4,5,0
INDIAN PREMIER LEAGUE 2022,106*(60),RCB,T20,Ahmedabad,27 May 22,176.6,10,6
INDIAN PREMIER LEAGUE 2022,89(56),GT,T20,Kolkata,24 May 22,158.9,12,2
INDIAN PREMIER LEAGUE 2022,2(5),CSK,T20,Mumbai,20 May 22,40,0,0
INDIAN PREMIER LEAGUE 2022,2(6),LSG,T20,Mumbai,15 May 22,33.3,0,0
INDIAN PREMIER LEAGUE 2022,7(11),DC,T20,Navi Mumbai,11 May 22,63.6,1,0
INDIAN PREMIER LEAGUE 2022,30(16),PBKS,T20,Mumbai,07 May 22,187.5,5,1
INDIAN PREMIER LEAGUE 2022,22(25),KKR,T20,Mumbai,02 May 22,88,3,0
INDIAN PREMIER LEAGUE 2022,67(52),MI,T20,Navi Mumbai,30 Apr 22,128.8,5,4
INDIAN PREMIER LEAGUE 2022,8(9),RCB,T20,Pune,26 Apr 22,88.8,1,0
INDIAN PREMIER LEAGUE 2022,116(65),DC,T20,Mumbai,22 Apr 22,178.4,9,9
INDIAN PREMIER LEAGUE 2022,103(61),KKR,T20,Mumbai,18 Apr 22,168.8,9,5
INDIAN PREMIER LEAGUE 2022,54(24),GT,T20,Navi Mumbai,14 Apr 22,225,8,3
INDIAN PREMIER LEAGUE 2022,13(11),LSG,T20,Mumbai,10 Apr 22,118.1,1,1
INDIAN PREMIER LEAGUE 2022,70*(47),RCB,T20,Mumbai,05 Apr 22,148.9,0,6
INDIAN PREMIER LEAGUE 2022,100(68),MI,T20,Navi Mumbai,02 Apr 22,147,11,5
