Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"INDIAN PREMIER LEAGUE, 2017",0-11,SRH,T20,Hyderabad,05 Apr 17,11,1,0
"SRI LANKA TOUR OF AUSTRALIA, 2017",1-16,SL,T20I,Adelaide,22 Feb 17,8,2,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2017",1-21,NZ,ODI,Auckland,30 Jan 17,4.2,5,0
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",0-13,PAK,ODI,Adelaide,26 Jan 17,6.5,2,0
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",2-66,PAK,ODI,Sydney,22 Jan 17,6.6,10,0
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",2-65,PAK,ODI,Perth,19 Jan 17,6.5,10,0
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",0-23,PAK,ODI,Melbourne,15 Jan 17,9.5,2.4,0
"PAKISTAN TOUR OF AUSTRALIA, 2016-17",0-28,PAK,ODI,Brisbane,13 Jan 17,2.8,10,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2016",2-37,NZ,ODI,Melbourne,09 Dec 16,5.2,7,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2016",0-31,NZ,ODI,Canberra,06 Dec 16,4.4,7,0
"AUSTRALIA TOUR OF SOUTH AFRICA, ODI SERIES, 2016",0-49,RSA,ODI,Cape Town,12 Oct 16,6.1,8,0
"AUSTRALIA TOUR OF SOUTH AFRICA, ODI SERIES, 2016",1-31,RSA,ODI,Durban,05 Oct 16,10.3,3,0
"AUSTRALIA TOUR OF SOUTH AFRICA, ODI SERIES, 2016",0-21,RSA,ODI,Johannesburg,02 Oct 16,10.5,2,0
"AUSTRALIA TOUR OF SOUTH AFRICA, ODI SERIES, 2016",0-16,RSA,ODI,Centurion,30 Sep 16,8,2,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",2-22,SL,ODI,Pallekele,04 Sep 16,4.4,5,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",1-5,SL,ODI,Dambulla,31 Aug 16,2.5,2,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",0-41,SL,ODI,Colombo,24 Aug 16,10.2,4,0
"AUSTRALIA TOUR OF SRI LANKA, 2016",0-18,SL,ODI,Colombo,21 Aug 16,4.5,4,0
"AUSTRALIA AND SOUTH AFRICA IN WEST INDIES TRI-SERIES, 2016",0-29,WI,ODI,"Basseterre, St Kitts",13 Jun 16,4.8,6,0
"INDIA TOUR OF AUSTRALIA, 2016",0-9,IND,T20I,Adelaide,26 Jan 16,9,1,0
